version;reserved0;flags;invalidLlh;iTOW;lon;lat;height;hMSL;lonHp;latHp;heightHp;hMSLHp;hAcc;vAcc
0;0;('X001', {'invalidLlh': 'U001'});0;219910000;14.190922096;40.828875875;83586.3;42310.7;-4;-25;3;-3;105.9;151.2
0;0;('X001', {'invalidLlh': 'U001'});0;219911000;14.190922105;40.828876477;83735.1;42459.4;5;-23;1;4;104.8;149.5
0;0;('X001', {'invalidLlh': 'U001'});0;219912000;14.190922138;40.828877083;83872.1;42596.5;38;-17;1;5;103.8;147.7
0;0;('X001', {'invalidLlh': 'U001'});0;219913000;14.190921197;40.828875089;85210.6;43934.9;-3;-11;-4;-1;56.9;84.1
0;0;('X001', {'invalidLlh': 'U001'});0;219914000;14.190921227;40.828875099;85226.1;43950.4;27;-1;1;4;47.5;71.2
0;0;('X001', {'invalidLlh': 'U001'});0;219915000;14.190921231;40.828875155;85233.5;43957.9;31;-45;-5;-1;47.3;70.9
0;0;('X001', {'invalidLlh': 'U001'});0;219916000;14.190921244;40.828875194;85234.4;43958.8;44;-6;4;-2;47.2;70.8
0;0;('X001', {'invalidLlh': 'U001'});0;219917000;14.190921251;40.828875179;85231.1;43955.4;-49;-21;1;4;47.1;70.6
0;0;('X001', {'invalidLlh': 'U001'});0;219918000;14.190921268;40.82887516;85227.4;43951.7;-32;-40;4;-3;47.3;70.6
0;0;('X001', {'invalidLlh': 'U001'});0;219919000;14.190921306;40.828875134;85227.4;43951.8;6;34;4;-2;46.9;70.1
0;0;('X001', {'invalidLlh': 'U001'});0;219920000;14.190921319;40.828875141;85220.4;43944.8;19;41;4;-2;46.8;70.1
0;0;('X001', {'invalidLlh': 'U001'});0;219921000;14.190921338;40.828875157;85215.7;43940.1;38;-43;-3;1;46.8;69.9
0;0;('X001', {'invalidLlh': 'U001'});0;219922000;14.190921336;40.828875144;85213.8;43938.2;36;44;-2;2;46.8;70.0
0;0;('X001', {'invalidLlh': 'U001'});0;219923000;14.190921343;40.828875137;85210.1;43934.4;43;37;1;4;46.6;69.7
0;0;('X001', {'invalidLlh': 'U001'});0;219924000;14.190921345;40.828875119;85217.0;43941.4;45;19;0;4;46.0;69.2
0;0;('X001', {'invalidLlh': 'U001'});0;219925000;14.190921366;40.828875103;85215.9;43940.3;-34;3;-1;3;45.9;69.0
0;0;('X001', {'invalidLlh': 'U001'});0;219926000;14.190921376;40.828875102;85216.8;43941.2;-24;2;-2;2;45.8;68.9
0;0;('X001', {'invalidLlh': 'U001'});0;219927000;14.190921376;40.828875097;85215.2;43939.6;-24;-3;2;-4;46.1;68.9
0;0;('X001', {'invalidLlh': 'U001'});0;219928000;14.190921402;40.828875076;85212.5;43936.9;2;-24;5;-1;46.3;69.1
0;0;('X001', {'invalidLlh': 'U001'});0;219929000;14.190921394;40.828875055;85225.1;43949.5;-6;-45;1;5;44.9;67.4
