Timestamp;Longitude;Latitude;Height
219996000;14.19091251;40.82888021;73376.8
219997000;14.19091906;40.828877284;77178.2
219998000;14.1909191;40.828876365;78574.2
219999000;14.190919062;40.828875594;79423.8
220000000;14.190919248;40.828874725;80118.2
220001000;14.190919464;40.828874011;80590.7
220002000;14.19091966;40.828873498;80926.4
220003000;14.190919787;40.828873079;81187.9
220004000;14.190919902;40.828872676;81395.4
220005000;14.190919978;40.828872322;81572.3
220006000;14.190920064;40.828872015;81731.3
220007000;14.190920148;40.828871749;81876.9
220008000;14.190920234;40.828871486;82004.5
220009000;14.19092027;40.828871309;82105.7
220010000;14.190920267;40.828871334;82198.0
220011000;14.190920289;40.828871393;82292.0
220012000;14.190920328;40.828871394;82382.1
220013000;14.190920361;40.828871333;82472.4
220014000;14.190920424;40.828871249;82548.8
220015000;14.190920506;40.828871131;82621.9
220016000;14.190920589;40.828870991;82696.3
220017000;14.190920647;40.828870837;82757.1
220018000;14.190920734;40.828870649;82809.2
220019000;14.190920805;40.828870464;82856.0
220020000;14.19092086;40.828870322;82895.0
220021000;14.190920907;40.828870201;82929.9
220022000;14.190920927;40.828870074;82958.5
220023000;14.190920973;40.828870011;82983.3
220024000;14.19092099;40.82886991;83005.1
220025000;14.190920964;40.828869788;83025.1
220026000;14.19092095;40.8288697;83043.1
220027000;14.190920936;40.828869719;83140.2
220028000;14.190920989;40.82886978;83283.4
220029000;14.190921087;40.828869821;83439.1
220030000;14.190921174;40.828869858;83598.0
220031000;14.19092126;40.828869903;83735.9
220032000;14.190921362;40.828869945;83852.7
220033000;14.190921469;40.828869904;83949.4
220034000;14.190921579;40.828869829;84023.8
220035000;14.190921668;40.828869738;84071.5
220036000;14.19092172;40.828869649;84097.4
220037000;14.190921745;40.828869558;84099.9
220038000;14.190921765;40.828869503;84090.4
220039000;14.1909218;40.828869465;84075.3
220040000;14.190921809;40.828869553;84063.9
220041000;14.190921811;40.82886973;84040.4
220042000;14.19092184;40.828869963;84005.5
220043000;14.19092187;40.828870235;83965.0
220044000;14.190921881;40.828870485;83922.8
220045000;14.190921933;40.828870775;83907.5
220046000;14.190921956;40.828870957;83888.5
220047000;14.190921933;40.828871129;83851.9
220048000;14.190921917;40.828871292;83814.6
220049000;14.190921863;40.828871392;83770.0
220050000;14.190921795;40.828871399;83724.2
220051000;14.19092178;40.828871303;83689.9
220052000;14.190921731;40.828871146;83663.2
220053000;14.190921695;40.828870956;83649.9
220054000;14.190921693;40.828870732;83649.5
220055000;14.190921704;40.828870507;83652.0
220056000;14.190921613;40.828870362;83651.8
220057000;14.19092155;40.828870407;83711.0
220058000;14.190921559;40.828870503;83798.5
220059000;14.190921621;40.828870578;83890.2
220060000;14.190921647;40.828870732;83987.8
220061000;14.190921685;40.828870858;84080.7
220062000;14.190921767;40.828870989;84172.8
220063000;14.19092188;40.828871127;84262.1
220064000;14.190921973;40.828871233;84348.3
220065000;14.190922048;40.828871296;84400.2
220066000;14.190922088;40.828871416;84432.6
220067000;14.190922125;40.828871569;84456.5
220068000;14.190922157;40.828871718;84479.3
220069000;14.190922225;40.828871846;84503.1
220070000;14.190922294;40.828871994;84520.1
220071000;14.19092234;40.828872116;84540.0
220072000;14.190922376;40.828872223;84553.7
220073000;14.1909224;40.828872343;84566.8
220074000;14.19092242;40.828872441;84576.0
220075000;14.190922437;40.828872525;84572.0
220076000;14.190922495;40.828872616;84571.3
220077000;14.190922501;40.828872706;84571.5
220078000;14.19092251;40.828872787;84566.7
220079000;14.190922549;40.828872843;84558.0
220080000;14.190922551;40.828872848;84547.5
220081000;14.190922547;40.828872844;84536.9
220082000;14.190922535;40.828872896;84524.1
220083000;14.190922531;40.828872959;84505.5
220084000;14.19092253;40.828872983;84491.3
220085000;14.190922525;40.828873015;84479.6
220086000;14.190922556;40.828873048;84473.8
220087000;14.190921571;40.828874839;85199.5
220088000;14.190921612;40.828874815;85227.3
220089000;14.190921601;40.828874783;85232.1
220090000;14.190921608;40.828874787;85238.7
220091000;14.190921611;40.828874821;85235.6
220092000;14.190921616;40.828874845;85237.3
220093000;14.190921649;40.828874812;85231.3
220094000;14.190921691;40.828874774;85228.9
220095000;14.190921642;40.828874828;85245.5
220096000;14.190921654;40.828874868;85245.5
220097000;14.190921665;40.828874898;85246.1
220098000;14.190921655;40.828874899;85243.0
220099000;14.190921662;40.828874899;85237.3
220100000;14.190921688;40.828874907;85240.5
220101000;14.190921677;40.828874928;85236.2
220102000;14.190921719;40.828874927;85231.9
220103000;14.190921714;40.828874914;85227.0
220104000;14.190921691;40.828874914;85227.3
220105000;14.190921648;40.828874947;85237.9
220106000;14.190921622;40.828874952;85243.1
220107000;14.190921646;40.828874963;85243.6
220108000;14.190921659;40.828874981;85242.2
220109000;14.190921675;40.82887494;85240.3
220110000;14.190921676;40.828874935;85237.8
220111000;14.190921699;40.828874923;85233.4
220112000;14.190921712;40.828874905;85228.7
220113000;14.190921726;40.828874903;85223.1
220114000;14.190921723;40.828874888;85221.7
220115000;14.190921736;40.828874883;85226.3
220116000;14.190921745;40.828874906;85228.3
220117000;14.190921588;40.828874988;85251.3
220118000;14.190921571;40.828874967;85255.1
220119000;14.190921604;40.828874919;85249.3
220120000;14.190921632;40.82887492;85243.0
220121000;14.190921657;40.828874963;85242.6
220122000;14.190921683;40.828874968;85239.9
220123000;14.19092171;40.828874972;85242.6
220124000;14.190921745;40.828874985;85246.0
220125000;14.190921774;40.828874963;85245.6
220126000;14.190921813;40.828874968;85249.0
220127000;14.190921847;40.828875;85245.8
220128000;14.190921862;40.828875012;85247.1
220129000;14.190921837;40.828875026;85250.3
220130000;14.190921839;40.828875032;85253.3
220131000;14.190921854;40.828875007;85255.8
220132000;14.190921875;40.828875017;85259.8
220133000;14.190921874;40.828875033;85265.2
220134000;14.190921827;40.828875048;85268.8
220135000;14.190921838;40.828875033;85267.5
220136000;14.190921863;40.828875005;85269.6
220137000;14.190921876;40.828875003;85275.4
220138000;14.190921865;40.828875018;85280.2
220139000;14.190921874;40.828875061;85283.0
220140000;14.190921834;40.828875042;85279.4
220141000;14.190921829;40.828875033;85273.8
220142000;14.190921833;40.828875018;85275.9
220143000;14.190921857;40.828875024;85276.1
220144000;14.190921866;40.82887503;85271.0
220145000;14.190921891;40.828875033;85273.8
220146000;14.190921676;40.828875047;85256.2
220147000;14.190921599;40.828875068;85264.8
220148000;14.190921565;40.828875081;85272.6
220149000;14.190921592;40.828875123;85274.6
220150000;14.190921617;40.828875149;85271.0
